"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"RX_A","LED0603","6764.764mil","4904.528mil","6764.764mil","4904.528mil","6764.764mil","4932.028mil","T","270.00","KPT-1608SGC"
"C12","0402","6544.291mil","5013.779mil","6544.291mil","5013.779mil","6544.291mil","4997.047mil","B","90.00","100n"
"R20","0402","6328.74mil","4542.323mil","6328.74mil","4542.323mil","6328.74mil","4523.425mil","T","90.00","0R"
"R22","0402","6487.205mil","5029.528mil","6487.205mil","5029.528mil","6468.307mil","5029.528mil","B","360.00","10k"
"R21","0402","6487.205mil","4997.047mil","6487.205mil","4997.047mil","6506.102mil","4997.047mil","B","180.00","4k7"
"C15","0402","6205mil","4450mil","6205mil","4450mil","6221.732mil","4450mil","B","180.00","100n"
"C13","0402","6685mil","4450mil","6685mil","4450mil","6701.732mil","4450mil","B","180.00","100n"
"C10","0402","6852.678mil","4545.591mil","6852.678mil","4545.591mil","6835.946mil","4545.591mil","B","360.00","100n"
"C9","0402","6850.71mil","4849.528mil","6850.71mil","4849.528mil","6833.978mil","4849.528mil","B","360.00","100n"
"C8","0402","6850.71mil","4805.63mil","6850.71mil","4805.63mil","6867.442mil","4805.63mil","B","180.00","100n"
"C16","0402","5820mil","4450mil","5820mil","4450mil","5836.732mil","4450mil","B","180.00","100n"
"C14","0402","5985mil","4450mil","5985mil","4450mil","6001.732mil","4450mil","B","180.00","100n"
"IC13","DHVQFN14","5846.457mil","4931.102mil","5846.457mil","4931.102mil","5905.512mil","4921.26mil","B","90.00","74HC00BQ"
"R18","0402","5688.976mil","4443.898mil","5688.976mil","4443.898mil","5670.079mil","4443.898mil","B","360.00","220R"
"R17","0402","5824.475mil","4653.543mil","5824.475mil","4653.543mil","5824.475mil","4634.645mil","B","90.00","10k"
"R16","0402","5898.622mil","4653.543mil","5898.622mil","4653.543mil","5898.622mil","4634.645mil","B","90.00","10k"
"R8","0402","5688.976mil","4344.488mil","5688.976mil","4344.488mil","5670.079mil","4344.488mil","B","360.00","220R"
"R7","0402","5688.976mil","4550.197mil","5688.976mil","4550.197mil","5670.079mil","4550.197mil","B","360.00","220R"
"R6","0402","5688.976mil","4895.669mil","5688.976mil","4895.669mil","5670.079mil","4895.669mil","B","360.00","220R"
"R5","0402","5861.548mil","4691.929mil","5861.548mil","4691.929mil","5861.548mil","4710.827mil","B","270.00","10k"
"R4","0402","5787.402mil","4691.929mil","5787.402mil","4691.929mil","5787.402mil","4710.827mil","B","270.00","10k"
"R3","0402","5688.976mil","4797.244mil","5688.976mil","4797.244mil","5670.079mil","4797.244mil","B","360.00","220R"
"R1","0402","5688.976mil","4993.11mil","5688.976mil","4993.11mil","5670.079mil","4993.11mil","B","360.00","220R"
"IC15","TS5A3359","5830.709mil","4567.914mil","5830.709mil","4567.914mil","5768.543mil","4538.386mil","B","0.00","TS5A3359"
"5V0_B","LED0603","5685.039mil","4486.713mil","5685.039mil","4486.713mil","5712.539mil","4486.713mil","T","180.00","KPT-1608SGC"
"5V0_A","LED0603","5685.039mil","4852.854mil","5685.039mil","4852.854mil","5712.539mil","4852.854mil","T","180.00","KPT-1608SGC"
"1V8_B","LED0603","5685.039mil","4384.842mil","5685.039mil","4384.842mil","5712.539mil","4384.842mil","T","180.00","KPT-1608SGC"
"1V8_A","LED0603","5685.039mil","4753.937mil","5685.039mil","4753.937mil","5712.539mil","4753.937mil","T","180.00","KPT-1608SGC"
"3V3_B","LED0603","5685.039mil","4588.583mil","5685.039mil","4588.583mil","5712.539mil","4588.583mil","T","180.00","KPT-1608SGC"
"3V3_A","LED0603","5685.039mil","4951.772mil","5685.039mil","4951.772mil","5712.539mil","4951.772mil","T","180.00","KPT-1608SGC"
"SW1_B","MH_1X03_2.54","5555.331mil","4486.614mil","5555.331mil","4586.614mil","5555.331mil","4586.614mil","T","270.00","MH_1X03_2.54"
"SW1_A","MH_1X03_2.54","5555.331mil","4852.765mil","5555.331mil","4952.765mil","5555.331mil","4952.765mil","T","270.00","MH_1X03_2.54"
"C1","0603","5395mil","4575.157mil","5395mil","4575.157mil","5423.543mil","4575.157mil","B","180.00","1u"
"C2","0603","5395mil","4750mil","5395mil","4750mil","5423.543mil","4750mil","B","180.00","1u"
"C3","0402","5133.858mil","4908.465mil","5133.858mil","4908.465mil","5150.591mil","4908.465mil","B","180.00","10n"
"C4","0402","5285.433mil","4376.969mil","5285.433mil","4376.969mil","5285.433mil","4393.701mil","B","270.00","100n"
"C5","0603","5264.764mil","4830.709mil","5264.764mil","4830.709mil","5236.22mil","4830.709mil","B","0.00","1u"
"C11","0402","6261.811mil","4773.622mil","6261.811mil","4773.622mil","6261.811mil","4756.89mil","B","90.00","100n"
"D1","SOT-3","5364.173mil","4621.063mil","5364.173mil","4621.063mil","5347.441mil","4634.843mil","T","270.00","TPD2E009DRTR"
"IC1","SC70-5","5399.606mil","4667.323mil","5442.913mil","4692.913mil","5442.913mil","4692.913mil","B","180.00","TLV70033DCKT"
"IC2","SC70-5","5268.701mil","4903.543mil","5312.008mil","4929.134mil","5312.008mil","4929.134mil","B","180.00","TLV70018DCKT"
"IC3","TS5A3359","5830.709mil","4774.606mil","5830.709mil","4774.606mil","5768.543mil","4745.078mil","B","360.00","TS5A3359"
"IC5","SC70-5","6827.087mil","4428.858mil","6870.394mil","4454.449mil","6870.394mil","4454.449mil","B","180.00","SN74LV1T125DCKR"
"IC6","SC70-5","6825.118mil","4921.378mil","6781.811mil","4895.787mil","6781.811mil","4895.787mil","B","360.00","SN74LV1T125DCKR"
"IC7","SC70-5","6825.118mil","4617.113mil","6781.811mil","4591.522mil","6781.811mil","4591.522mil","B","360.00","SN74LV1T125DCKR"
"IC8","LQFP-48","6495.079mil","4683.071mil","6495.079mil","4683.071mil","6386.811mil","4849.41mil","B","270.00","FT2232D"
"IC9","SC70-5","5981.693mil","4379.409mil","6025mil","4405mil","6025mil","4405mil","B","180.00","SN74LV1T125DCKR"
"IC10","SC70-5","6681.693mil","4378.858mil","6725mil","4404.449mil","6725mil","4404.449mil","B","180.00","SN74LV1T125DCKR"
"IC11","SC70-5","5821.693mil","4379.409mil","5865mil","4405mil","5865mil","4405mil","B","180.00","SN74LV1T125DCKR"
"IC12","SC70-5","6201.693mil","4378.858mil","6245mil","4404.449mil","6245mil","4404.449mil","B","180.00","SN74LV1T125DCKR"
"J1","WE_629105150521","5212.205mil","4608.819mil","5172.835mil","4608.819mil","5287.008mil","4660mil","T","270.00","629105150521"
"J3","MH_2X08_2.54_RA","6991.929mil","4663.779mil","6941.929mil","5013.779mil","6941.929mil","5013.779mil","T","270.00","MH_2X08_2.54_RA"
"L1","0603","5137.795mil","4974.409mil","5137.795mil","4974.409mil","5105.709mil","4974.409mil","B","360.00","BLM18SG121TN1D"
"L2","0603","5173.228mil","4380.906mil","5173.228mil","4380.906mil","5205.315mil","4380.906mil","B","180.00","BLM18SG121TN1D"
"R2","0402","5135mil","4865mil","5135mil","4865mil","5116.102mil","4865mil","B","360.00","470R"
"R9","0402","6221.457mil","4772.638mil","6221.457mil","4772.638mil","6221.457mil","4791.535mil","B","270.00","470R"
"R10","0402","5414.37mil","4571.85mil","5414.37mil","4571.85mil","5414.37mil","4590.748mil","T","270.00","1k54"
"R11","0402","6595.473mil","4945.866mil","6595.473mil","4945.866mil","6595.473mil","4926.969mil","B","90.00","220R"
"R12","0402","6632.874mil","4945.866mil","6632.874mil","4945.866mil","6632.874mil","4926.969mil","B","90.00","220R"
"R13","0402","6426.181mil","4945.866mil","6426.181mil","4945.866mil","6426.181mil","4964.764mil","B","270.00","10k"
"R14","0402","6553.071mil","4410.63mil","6553.071mil","4410.63mil","6553.071mil","4429.528mil","B","270.00","220R"
